class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR
grass ,3.2,461,1.19,222.09,2.41,3.42,197.48,233.49,235.28
grass ,2.44,397,1.27,237.52,2.58,2.51,220.59,248.17,243.78
grass ,1.69,300,1.19,239.85,1.91,1.7,230.83,246.48,242.23
grass ,2.06,298,1.31,162.26,2.43,2.14,211.16,129.67,145.96
grass ,2.32,89,2.23,138.7,3.64,2.7,76.64,137.45,202
grass ,1.5,21,1.08,209.79,1.67,1.64,210.38,212.1,206.9
grass ,2.12,857,0.73,40.09,1.59,2.13,47.92,32.21,40.12
grass ,1.76,423,1.09,152.96,1.63,2.09,210.94,114.01,133.93
grass ,2.06,793,0.82,148.16,1.77,2.52,193.87,117.38,133.24
grass ,2.59,245,1.63,76.26,2.74,2.81,63.5,81.39,83.88
grass ,2.12,590,0.8,145.91,2.03,2.22,218.53,99.96,119.25
grass ,1.43,94,0.94,226.07,1.34,1.7,200.68,240.35,237.17
grass ,1.42,315,1.08,155.15,1.77,1.52,229.78,105.34,130.35
grass ,2.08,315,0.95,92.9,1.93,2.34,79.72,97.55,101.43
pool ,2.71,532,1.41,139.19,2.39,3.06,161.88,126.94,128.76
pool ,2.42,281,1.1,153.48,2.37,2.59,134.92,160.07,165.44
pool ,1.13,48,0.68,240.82,1.46,1.23,219.46,251.73,251.27
pool ,1.71,87,0.59,161.74,1.77,1.93,210.79,128.94,145.47
pool ,2.28,976,1.14,86.13,2.27,2.48,73.57,91.58,93.24
pool ,1.85,240,1.45,139.67,2.39,2.03,167.44,123.96,127.62
pool ,2.08,569,1.22,167.01,2.36,2.22,240.52,114.77,145.73
pool ,1.09,116,0.22,209.75,1.34,1.16,126.4,251.4,251.46
pool ,1.92,928,0.98,240.1,2.26,1.99,213.97,253.08,253.26
pool ,1.57,81,0.98,153.14,1.74,1.83,205.58,118.19,135.65
pool ,2.57,193,2.08,146.7,3.08,2.77,160.34,140.02,139.75
pool ,2.47,794,2.05,243.57,2.9,2.63,226.45,252.13,252.13
pool ,2.95,1459,2.89,204.76,4.7,3.21,178.85,217.25,218.18
pool ,1.44,61,1.07,205.87,1.38,1.66,187,212.41,218.2
pool ,1,10,0.15,236.7,1.2,1.11,211.6,246.7,251.8
shadow ,2.21,428,1.14,153.18,1.94,2.3,220,108.9,130.63
shadow ,2.22,299,0.97,47.46,1.99,2.31,43.7,45.6,53.09
shadow ,1.71,218,0.87,124.61,2.11,1.79,65.12,119.18,189.53
shadow ,2.75,233,2.01,85.33,3.81,2.88,121.1,62.92,71.98
shadow ,1.61,230,0.9,74.29,1.73,1.65,64.56,74.67,83.64
shadow ,1.86,268,1.28,150.01,2.45,1.99,213.6,105.78,130.66
shadow ,1.15,540,0.51,192.38,1.25,1.18,104.15,219.67,253.32
shadow ,2.18,915,1.24,221.83,2.34,2.23,197.96,232.95,234.59
shadow ,2.03,679,1.03,138.63,1.84,2.46,158.69,128.27,128.95
shadow ,2.24,551,1.31,202.32,3.07,3.58,194.96,204.84,207.17
shadow ,1.95,1294,1.04,68.85,1.89,1.97,54.82,73.45,78.3
shadow ,2.37,642,1.46,63.67,2,2.53,51.76,67.2,72.05
shadow ,1.82,142,1.22,213.4,2.91,2.14,193.14,222.59,224.46
shadow ,2.22,116,1.29,100.77,2.72,2.37,87.45,105.32,109.53
shadow ,2.42,688,1.24,153.9,2.08,2.76,163.86,150.02,147.83
shadow ,1.83,356,0.87,37.67,2.08,2.04,30.68,37.66,44.68
soil ,1.38,99,0.69,158.47,1.62,1.46,84.66,166.6,224.17
soil ,1.86,96,1.59,141.05,1.75,1.99,77.2,142.99,202.97
soil ,1.85,84,0.81,136.02,1.69,2.02,70.61,135.31,202.14
soil ,1.58,136,1.06,226.82,1.26,1.76,205.08,241.11,234.26
soil ,2.61,258,1.72,134.78,2.52,2.68,130.88,136.84,136.62
soil ,2.07,251,0.78,197.25,2.02,2.68,174.88,207.75,209.11
soil ,2.22,828,1.26,61.67,2.16,2.31,48.91,66.08,70
soil ,1.9,520,1.06,221.09,2.41,2.08,194.82,233.79,234.67
soil ,2.12,596,1.5,69.41,2.12,2.17,55.59,74.09,78.55
soil ,2.03,3659,1.15,244,1.47,2.07,226.38,252.79,252.81
soil ,1.97,1386,1.27,41.74,1.83,2.65,33.86,41.17,50.2
soil ,1.62,602,0.75,50.06,1.55,1.65,44.47,48.59,57.11
soil ,2.76,250,1.35,113.17,2.6,2.88,172.94,76.14,90.42
soil ,1.54,358,0.89,178.45,1.71,2.03,194.25,172.26,168.82
tree ,1,12,0.09,145,1.25,1.15,139.17,168,127.83
tree ,1.26,216,1.03,118.06,1.39,1.5,177.24,79.63,97.32
tree ,1.54,953,0.49,42.63,1.67,1.57,43.72,39.35,44.81
tree ,2.53,1042,1.09,217.05,2.51,2.74,189.26,230.49,231.4
tree ,1.37,275,0.96,231.11,1.41,1.57,195.85,247.84,249.62
tree ,1.76,252,0.88,238.86,1.79,1.83,225.58,244.86,246.14
tree ,1.7,178,1.01,131.57,1.69,1.91,189.94,94.97,109.8
tree ,2.25,542,1.49,76.52,2.09,2.32,60.5,82.17,86.88
tree ,2.72,462,1.29,214.75,2.89,2.91,189.06,226.77,228.41
tree ,2.14,1038,0.95,158.47,1.79,2.16,212.28,121.74,141.4
tree ,2.9,214,1.91,148.61,3.17,3.08,221.28,103.21,121.34
tree ,3.03,212,1.93,151.26,2.78,3.23,215.23,108.11,130.44
tree ,1.43,39,1.41,234.03,1.54,1.6,206.36,246.05,249.69
tree ,1.92,141,1.24,215.19,2.02,2.02,212.28,216.28,217
tree ,2.97,252,1.73,164.13,3.2,3.09,184.15,152.03,156.22
tree ,1.57,216,1.27,164.84,1.71,1.97,192.55,148.34,153.62
tree ,2.12,836,0.88,232.84,1.78,2.52,202.39,247.24,248.89
